CASRN,DTXSID,SMILES
103147-31-5,DTXSID10761291,C(C(CO)I)C(C(C(C(F)(F)Cl)(F)F)(F)F)(F)F
103147-32-6,DTXSID90554562,C=CCCC(CC(C(C(C(F)(F)Cl)(F)F)(F)F)(F)F)I
103148-11-4,DTXSID50549656,CCCCC(CC(C(C(C(F)(F)Cl)(F)F)(F)F)(F)F)I
103188-04-1,DTXSID30896195,COC1=CC=C(C=C1)NC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
103188-54-1,DTXSID90908243,CC(C(C(C(C(C(C(C(C)(C(F)(F)Cl)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)Cl)F
103188-55-2,DTXSID20893310,C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F
1031928-86-5,DTXSID40650447,CC(=O)OCC(C(F)(F)F)(F)F
103217-78-3,DTXSID40542590,C(C(N(C(F)(F)F)C(F)(F)F)(F)F)(C(F)(F)F)(F)F
103229-77-2,DTXSID00897492,C(=C(/C(C(F)(F)F)(C(F)(F)F)F)\F)(\C(=O)F)/F
103229-89-6,DTXSID50397558,C(=C(/C(C(F)(F)F)(C(F)(F)F)F)\F)(\C(=O)O)/F
103229-91-0,DTXSID00696689,C(=C(/C(C(F)(F)F)(F)F)\F)(\C(=O)O)/F
10325-10-7,DTXSID10895500,C(CC(C(C(F)(F)F)(F)F)(F)F)C(C(=O)O)N
10325-14-1,DTXSID20895516,C(CC(C(=O)O)N)CC(C(C(F)(F)F)(F)F)(F)F
103305-01-7,DTXSID60382879,C(C(F)(F)P(=O)(O)O)(F)(F)F
10331-08-5,DTXSID00379960,C(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
1033630-69-1,DTXSID80896286,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)C(C(C(F)(F)F)(F)F)(F)F)CO)O
1034143-66-2,DTXSID801009441,C(CS(=O)(=O)O)C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
1034681-41-8,DTXSID40893519,CC(=O)O[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(OC(=O)C)OC(=O)C
103489-99-2,DTXSID00623819,C(=C(F)F)(OC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F
103573-07-5,DTXSID50895685,C(=NC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F
1036029-24-9,DTXSID90896055,CC(C)N(C(C)C)P(OCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OCCC#N
103628-86-0,DTXSID70544062,C=CCOCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
103634-36-2,DTXSID80896387,C12=C(C(=C(C(=C1F)F)F)F)C(C2(C(C(F)(F)F)(C(F)(F)F)F)F)(F)F
1036375-28-6,DTXSID20895713,C(C(F)F)OS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
103654-81-5,DTXSID40553323,COC1=C(C2=C(C=C1)C(=CC=C2)C(=O)O)C(C(F)(F)F)(F)F
103697-21-8,DTXSID10896375,C1(C(O1)(C(F)(F)F)C(F)(F)F)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F
103712-63-6,DTXSID80622108,C(=C(F)F)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
10372-98-2,DTXSID80146031,C(=C(F)F)(OC(C(F)(F)F)(C(F)(F)F)F)F
103831-28-3,DTXSID70892959,CN(C)CCCNC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
103831-29-4,DTXSID80892960,CN(C)CCCNC(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
104312-38-1,DTXSID00542591,CN(C)CC(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
104431-27-8,DTXSID30446270,C[Si](C)(C)C(CC(C(C(C(F)(F)Cl)(F)F)(F)F)(F)F)I
104504-30-5,DTXSID80896665,CCCCCCCC/C=C/C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
104550-50-7,DTXSID30546547,C1(C(OC(N1C(F)(F)F)(F)F)(F)F)(F)Br
104554-44-1,DTXSID60549521,C1=CC(=CC=C1CC(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)C(F)(F)F)C#N
104564-28-5,DTXSID40895472,C=CC(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
104568-24-3,DTXSID30551318,C(CSCCOCCO)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
104568-28-7,DTXSID60895494,C(CSCCO)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
