CASRN,DTXSID,Name,Species,Sex,DosingAdj,HalfLife.h,kelim.h,Source,NObs,Multimodal,FittedDist
44864-55-3,DTXSID10892478,Perfluoropropanoate,,,,4.943,,,,,
422-64-0,DTXSID8059970,Perfluoropropanoic acid,,,,52.55,,,,,
422-64-0,DTXSID8059970,Perfluoropropanoic acid,,,,4.943,,,,,
72301-80-5,DTXSID60374714,Perfluoropropanol,,,,52.55,,,,,
72301-80-5,DTXSID60374714,Perfluoropropanol,,,,4.943,,,,,
422-59-3,DTXSID9059967,Perfluoropropionyl chloride,,,,52.55,,,,,
422-59-3,DTXSID9059967,Perfluoropropionyl chloride,,,,4.943,,,,,
422-61-7,DTXSID4059968,Perfluoropropionyl fluoride,,,,52.55,,,,,
422-61-7,DTXSID4059968,Perfluoropropionyl fluoride,,,,4.943,,,,,
271257-42-2,DTXSID701014756,Perfluoropropyl formate,,,,52.55,,,,,
271257-42-2,DTXSID701014756,Perfluoropropyl formate,,,,4.943,,,,,
1623-05-8,DTXSID0061826,Perfluoropropyl trifluorovinyl ether,,,,52.55,,,,,
1623-05-8,DTXSID0061826,Perfluoropropyl trifluorovinyl ether,,,,4.943,,,,,
307-77-7,DTXSID80380014,Perfluorosebacamide,,,,29070,,,,,
307-77-7,DTXSID80380014,Perfluorosebacamide,,,,782.4,,,,,
865-94-1,DTXSID40380015,Perfluorosebacamidine,,,,29070,,,,,
865-94-1,DTXSID40380015,Perfluorosebacamidine,,,,782.4,,,,,
9/8/2342,DTXSID80380019,Perfluorosebaconitrile,,,,29070,,,,,
9/8/2342,DTXSID80380019,Perfluorosebaconitrile,,,,782.4,,,,,
1766-41-2,DTXSID10380022,Perfluorotetracosane,,,,29070,,,,,
1766-41-2,DTXSID10380022,Perfluorotetracosane,,,,782.4,,,,,
306-91-2,DTXSID1047029,Perfluorotetradecahydrophenanthrene,,,,29070,,,,,
306-91-2,DTXSID1047029,Perfluorotetradecahydrophenanthrene,,,,782.4,,,,,
307-62-0,DTXSID90184727,Perfluorotetradecane,,,,29070,,,,,
307-62-0,DTXSID90184727,Perfluorotetradecane,,,,52.55,,,,,
307-62-0,DTXSID90184727,Perfluorotetradecane,,,,782.4,,,,,
307-62-0,DTXSID90184727,Perfluorotetradecane,,,,4.943,,,,,
2822-93-7,DTXSID701015592,Perfluorotetradecanedioic acid,,,,29070,,,,,
2822-93-7,DTXSID701015592,Perfluorotetradecanedioic acid,,,,782.4,,,,,
5102-53-4,DTXSID40880207,Perfluorotetradecanedioic acid dihydrazide,,,,29070,,,,,
5102-53-4,DTXSID40880207,Perfluorotetradecanedioic acid dihydrazide,,,,782.4,,,,,
343629-46-9,DTXSID30904582,Perfluorotetradecanesulfonate,,,,29070,,,,,
343629-46-9,DTXSID30904582,Perfluorotetradecanesulfonate,,,,782.4,,,,,
1379460-39-5,DTXSID80904577,Perfluorotetradecanesulfonic acid,,,,29070,,,,,
1379460-39-5,DTXSID80904577,Perfluorotetradecanesulfonic acid,,,,782.4,,,,,
365971-87-5,DTXSID60892488,Perfluorotetradecanoate,,,,29070,,,,,
365971-87-5,DTXSID60892488,Perfluorotetradecanoate,,,,782.4,,,,,
376-06-7,DTXSID3059921,Perfluorotetradecanoic acid,,,,29070,,,,,
376-06-7,DTXSID3059921,Perfluorotetradecanoic acid,,,,782.4,,,,,
773148-75-7,DTXSID501023753,Perfluorotetrakis(carboxyethoxymethyl)methane tetramethyl ester,,,,29070,,,,,
773148-75-7,DTXSID501023753,Perfluorotetrakis(carboxyethoxymethyl)methane tetramethyl ester,,,,782.4,,,,,
7/6/2342,DTXSID50177978,Perfluorotetralin,,,,52.55,,,,,
7/6/2342,DTXSID50177978,Perfluorotetralin,,,,29070,,,,,
7/6/2342,DTXSID50177978,Perfluorotetralin,,,,4.943,,,,,
133609-46-8,DTXSID80379564,Perfluorotetramethyltetraoxapentadecanoicacidme,,,,29070,,,,,
133609-46-8,DTXSID80379564,Perfluorotetramethyltetraoxapentadecanoicacidme,,,,782.4,,,,,
311-89-7,DTXSID0027141,Perfluorotributylamine,,,,29070,,,,,
311-89-7,DTXSID0027141,Perfluorotributylamine,,,,52.55,,,,,
311-89-7,DTXSID0027141,Perfluorotributylamine,,,,782.4,,,,,
376-03-4,DTXSID00380031,Perfluorotridecane,,,,29070,,,,,
376-03-4,DTXSID00380031,Perfluorotridecane,,,,52.55,,,,,
